"n.sites","Parameter","mu.bias","sd.bias","mu.p.bias","mu.CV","og.val","bias.lci","bias.uci","CR","PWR","Conv.rate","ndatasets","Lik","Scenario","order","CoefReg"
33,"f1.0",0.018185957055436,1.62011222718811,-0.09092978527718,5.73759263994366,-0.2,-3.15723400823326,3.19360592234413,1,0.0309278350515464,1,97,"LL","3 Slopes","1st","Intercept"
33,"f1.1",0.163099777527322,0.706991857663551,0.543665925091073,3.33164899175191,0.3,-1.22260426349324,1.54880381854788,0.969072164948454,0.0515463917525773,1,97,"LL","3 Slopes","1st","Slope"
33,"f12.0",-0.927736762178989,4.02061322043988,1.54622793696498,3.52067717037953,-0.6,-8.80813867424115,6.95266514988317,0.979381443298969,0,1,97,"LL","3 Slopes","2nd","Intercept"
33,"f12.1",0.848752881888488,1.9046025559722,1.06094110236061,11.3629601016571,0.8,-2.88426812781703,4.58177389159401,0.979381443298969,0.0206185567010309,1,97,"LL","3 Slopes","2nd","Slope"
33,"f2.0",-0.175988439812998,2.30614512916061,0.293314066354997,2.57198749196606,-0.6,-4.6960328929678,4.34405601334181,0.989690721649485,0.0721649484536082,1,97,"LL","3 Slopes","1st","Intercept"
33,"f2.1",0.294447844594872,0.876628297821353,0.588895689189743,2.81753656728098,0.5,-1.42374361913498,2.01263930832472,0.979381443298969,0.0721649484536082,1,97,"LL","3 Slopes","1st","Slope"
54,"f1.0",0.116507761684833,0.712416812248347,-0.582538808424166,18.0797452796495,-0.2,-1.27982919032193,1.51284471369159,0.95,0.07,1,100,"LL","3 Slopes","1st","Intercept"
54,"f1.1",0.1160943369564,0.483088506981673,0.386981123187999,2.49415210782867,0.3,-0.83075913672768,1.06294781064048,0.99,0.15,1,100,"LL","3 Slopes","1st","Slope"
54,"f12.0",-0.671310155940988,3.97825060137927,1.11885025990165,5.38015852948181,-0.6,-8.46868133464436,7.12606102276238,0.96,0.09,1,100,"LL","3 Slopes","2nd","Intercept"
54,"f12.1",0.580920064859658,2.85610309300343,0.726150081074573,3.19210002083915,0.8,-5.01704199742706,6.17888212714638,0.96,0.15,1,100,"LL","3 Slopes","2nd","Slope"
54,"f2.0",0.00627226944756069,0.937019984838773,-0.0104537824126012,2.10043662149366,-0.6,-1.83028690083644,1.84283143973156,0.97,0.2,1,100,"LL","3 Slopes","1st","Intercept"
54,"f2.1",0.101915692292588,0.627083151049891,0.203831384585177,2.99062865084408,0.5,-1.1271672837652,1.33099866835038,0.99,0.18,1,100,"LL","3 Slopes","1st","Slope"
90,"f1.0",-0.00320508784981722,0.320970587671976,0.0160254392490861,18.79794619445,-0.2,-0.63230743968689,0.625897263987256,0.97,0.09,1,100,"LL","3 Slopes","1st","Intercept"
90,"f1.1",-0.0220677089488897,0.204154747351654,-0.0735590298296325,2.28132226875539,0.3,-0.422211013758131,0.378075595860351,0.99,0.16,1,100,"LL","3 Slopes","1st","Slope"
90,"f12.0",-0.0895002277244825,0.765535842139352,0.149167046207471,1.91463368037241,-0.6,-1.58995047831761,1.41095002286865,0.95,0.14,1,100,"LL","3 Slopes","2nd","Intercept"
90,"f12.1",0.0386077682024792,0.440813935394637,0.048259710253099,0.921537477065243,0.8,-0.825387545171009,0.902603081575967,0.97,0.48,1,100,"LL","3 Slopes","2nd","Slope"
90,"f2.0",-0.0240075758115764,0.371523142656651,0.0400126263526274,3.11591729285354,-0.6,-0.752192935418613,0.70417778379546,0.98,0.39,1,100,"LL","3 Slopes","1st","Intercept"
90,"f2.1",0.120655758935466,0.257189655316294,0.241311517870933,0.505337378244139,0.5,-0.38343596548447,0.624747483355403,0.97,0.63,1,100,"LL","3 Slopes","1st","Slope"
148,"f1.0",-0.0156955597141364,0.289528986094396,0.0784777985706818,9.25257325234653,-0.2,-0.583172372459152,0.551781253030879,0.93,0.15,1,100,"LL","3 Slopes","1st","Intercept"
148,"f1.1",0.00658798567329334,0.233809997334153,0.0219599522443111,1.6198326907673,0.3,-0.451679609101646,0.464855580448233,0.94,0.35,1,100,"LL","3 Slopes","1st","Slope"
148,"f12.0",-0.0622497825731097,0.547387882885655,0.103749637621849,2.66693027514822,-0.6,-1.13513003302899,1.01063046788277,0.95,0.23,1,100,"LL","3 Slopes","2nd","Intercept"
148,"f12.1",0.0422151492417582,0.345556045656961,0.0527689365521977,0.457447801553003,0.8,-0.635074700245885,0.719504998729402,0.96,0.76,1,100,"LL","3 Slopes","2nd","Slope"
148,"f2.0",-0.0175483629349783,0.282007176786446,0.0292472715582971,0.574683821432362,-0.6,-0.570282429436413,0.535185703566456,0.97,0.61,1,100,"LL","3 Slopes","1st","Intercept"
148,"f2.1",0.0150261194946502,0.197313640100699,0.0300522389893004,0.474623462238488,0.5,-0.37170861510272,0.40176085409202,0.98,0.75,1,100,"LL","3 Slopes","1st","Slope"
